"county1","mi_to_county","county2"
"21001",14.6678808553376,"21207"
"21001",18.1064710187506,"21217"
"21001",19.1334877514726,"21087"
"21001",20.7822632756409,"21169"
"21001",23.0474814328753,"21057"
"21001",24.5207694536759,"21045"
"21001",26.9505146074669,"21053"
"21001",30.8715749722546,"21155"
"21001",32.5544014286934,"21231"
"21001",36.04744232975,"21099"
"21001",36.0755008351407,"21171"
"21001",36.8268612683033,"21009"
"21001",38.0269965953891,"21123"
"21001",38.6502257031716,"21199"
"21001",39.413799877379,"47137"
54110,1047.77921792161,48081
